"";"ATIVO";"VALOR";"DATA"
"235";"TAEE11";-1,30718954248367;2014-03-28
"236";"GRND3";0,224592925322864;2014-03-28
"237";"GRND3";-1,00055586436909;2014-03-28
"238";"GRND3";1,46644106034968;2014-03-28
"239";"GRND3";0,624290578887621;2014-03-28
"240";"GRND3";-1,8384401114206;2014-03-28
"241";"ITUB4";-1,40620854338021;2014-03-28
"242";"ITUB4";-2,66012396694215;2014-03-28
"243";"ITUB4";1,86792949223888;2014-03-28
"244";"ITUB4";0,982996811902215;2014-03-28
"245";"ITUB4";-0,686015831134557;2014-03-28
"246";"ETER3";-1,19760479041916;2014-03-28
"247";"ETER3";-1,47492625368733;2014-03-28
"248";"ETER3";1,49700598802396;2014-03-28
"249";"ETER3";7,05128205128205;2014-03-28
"250";"ETER3";-7,69230769230769;2014-03-28
"251";"ELET6";-1,77267987486965;2014-03-28
"252";"ELET6";-0,724637681159424;2014-03-28
"253";"ELET6";0,415800415800427;2014-03-28
"254";"ELET6";0;2014-03-28
"255";"ELET6";-3,8961038961039;2014-03-28
"256";"HGTX3";4,4776119402985;2014-03-28
"257";"HGTX3";1,90114068441065;2014-03-28
"258";"HGTX3";3,21821036106751;2014-03-28
"259";"HGTX3";-2,67379679144385;2014-03-28
"260";"HGTX3";-4,10256410256411;2014-03-28
"261";"VALE5";-0,53003533568905;2014-03-28
"262";"VALE5";-4,55311973018549;2014-03-28
"263";"VALE5";-0,503355704697983;2014-03-28
"264";"VALE5";-0,831946755407664;2014-03-28
"265";"VALE5";-2,64578833693304;2014-03-28
"266";"HBOR3";0;2014-03-28
"267";"HBOR3";-2,54545454545454;2014-03-28
"268";"HBOR3";-0,722021660649819;2014-03-28
"269";"HBOR3";1,09489051094889;2014-03-28
"270";"HBOR3";0;2014-03-28
"271";"ALUP11";-0,28441410693969;2014-03-29
"272";"ALUP11";1,61849710982658;2014-03-29
"273";"ALUP11";-2,4802705749718;2014-03-29
"274";"ALUP11";1,83696900114809;2014-03-29
"275";"ALUP11";-1,52628603730921;2014-03-29
"276";"TAEE11";-1,93740685543965;2014-03-29
"277";"TAEE11";0,149253731343268;2014-03-29
"278";"TAEE11";1,82370820668694;2014-03-29
"279";"TAEE11";0,560366785532351;2014-03-29
"280";"TAEE11";-1,30718954248367;2014-03-29
"281";"GRND3";0,224592925322864;2014-03-29
"282";"GRND3";-1,00055586436909;2014-03-29
"283";"GRND3";1,46644106034968;2014-03-29
"284";"GRND3";0,624290578887621;2014-03-29
"285";"GRND3";-1,8384401114206;2014-03-29
"286";"ITUB4";-1,40620854338021;2014-03-29
"287";"ITUB4";-2,66012396694215;2014-03-29
"288";"ITUB4";1,86792949223888;2014-03-29
"289";"ITUB4";0,982996811902215;2014-03-29
"290";"ITUB4";-0,686015831134557;2014-03-29
"291";"ETER3";-1,19760479041916;2014-03-29
"292";"ETER3";-1,47492625368733;2014-03-29
"293";"ETER3";1,49700598802396;2014-03-29
"294";"ETER3";7,05128205128205;2014-03-29
"295";"ETER3";-7,69230769230769;2014-03-29
"296";"ELET6";-1,77267987486965;2014-03-29
"297";"ELET6";-0,724637681159424;2014-03-29
"298";"ELET6";0,415800415800427;2014-03-29
"299";"ELET6";0;2014-03-29
"300";"ELET6";-3,8961038961039;2014-03-29
"301";"HGTX3";4,4776119402985;2014-03-29
"302";"HGTX3";1,90114068441065;2014-03-29
"303";"HGTX3";3,21821036106751;2014-03-29
"304";"HGTX3";-2,67379679144385;2014-03-29
"305";"HGTX3";-4,10256410256411;2014-03-29
"306";"VALE5";-0,53003533568905;2014-03-29
"307";"VALE5";-4,55311973018549;2014-03-29
"308";"VALE5";-0,503355704697983;2014-03-29
"309";"VALE5";-0,831946755407664;2014-03-29
"310";"VALE5";-2,64578833693304;2014-03-29
"311";"HBOR3";0;2014-03-29
"312";"HBOR3";-2,54545454545454;2014-03-29
"313";"HBOR3";-0,722021660649819;2014-03-29
"314";"HBOR3";1,09489051094889;2014-03-29
"315";"HBOR3";0;2014-03-29
"316";"ALUP11";-0,28441410693969;2014-03-30
"317";"ALUP11";1,61849710982658;2014-03-30
"318";"ALUP11";-2,4802705749718;2014-03-30
"319";"ALUP11";1,83696900114809;2014-03-30
"320";"ALUP11";-1,52628603730921;2014-03-30
"321";"TAEE11";-1,93740685543965;2014-03-30
"322";"TAEE11";0,149253731343268;2014-03-30
"323";"TAEE11";1,82370820668694;2014-03-30
